empid,basic_salary,grade_pay,DA,home_rent,convience_allowance,absent,earned_leave,casual_leave,maternity_leave,washing_allowance
EMP01776,34869,4667,13717,10365,1226,5,2,6,0,324
EMP01777,44447,4964,19516,8327,1211,2,6,0,0,479
EMP01778,42016,1433,19099,9891,1879,4,15,4,0,485
EMP01779,37022,2111,12886,10237,1098,4,15,4,0,336
EMP01780,20158,4224,8851,5972,1207,5,7,2,0,554
EMP01781,28301,4165,9697,7289,1957,2,4,8,0,332
EMP01782,40515,1830,13195,4257,1874,2,9,8,0,557
EMP01783,25268,2833,11079,2572,1171,3,8,4,0,469
EMP01784,21807,4897,10417,5159,915,3,9,2,0,586
EMP01785,29514,2463,13225,4768,1644,3,8,3,0,587
EMP01786,44908,1762,25900,11295,1359,5,10,6,0,447
EMP01787,17879,2512,7762,3471,1947,0,6,9,0,440
EMP01788,24397,3841,7931,4805,1929,5,4,7,0,373
EMP01789,23687,3666,8018,4226,1003,4,15,1,0,552
EMP01790,33407,3030,18637,6426,1022,4,7,6,0,415
EMP01791,39711,4471,14516,10125,1176,2,0,9,0,434
EMP01792,46725,4437,23865,11510,1429,1,7,2,0,577
EMP01793,44650,2083,20421,6013,1273,3,11,9,0,465
EMP01794,42246,1843,21226,10023,1105,4,4,3,0,402
EMP01795,28921,2839,9234,4067,803,4,3,1,0,359
EMP01796,37611,2701,15423,8468,1630,1,8,5,0,333
EMP01797,31170,2732,12856,5889,921,2,15,6,0,363
EMP01798,23367,4592,12711,6591,1891,2,3,7,0,496
EMP01799,41929,2447,18317,4969,890,3,3,2,0,507
EMP01800,45043,3505,17068,5398,960,2,13,5,176,462
EMP01801,19185,3490,8890,3788,1636,3,2,5,0,596
EMP01802,17629,3919,5766,3346,1584,2,0,2,0,314
EMP01803,35185,1556,11212,9764,1561,3,13,0,0,582
EMP01804,23064,2150,8014,5428,1449,4,10,3,0,314
EMP01805,39737,2742,19795,7594,1391,2,15,4,0,467
EMP01806,23662,2845,7489,3436,843,4,2,9,0,384
EMP01807,17064,1782,10055,2816,1080,5,0,2,0,347
EMP01808,42190,2687,15944,4376,1749,0,8,6,0,414
EMP01809,22200,3743,7523,5679,1185,3,11,10,0,455
EMP01810,48391,1781,27433,14347,1296,5,13,4,0,394
EMP01811,46489,1675,22971,10469,1180,5,6,9,0,549
EMP01812,35574,1433,15118,9914,826,5,12,10,0,436
EMP01813,48901,3723,26323,7521,1138,4,6,5,0,482
EMP01814,32851,1882,10104,6855,1313,5,11,7,0,570
EMP01815,40258,3179,17036,10557,1676,0,1,8,0,521
EMP01816,38276,1348,18479,4863,1897,5,1,9,0,569
EMP01817,41420,2344,15922,11521,1572,1,13,1,0,477
EMP01818,19018,4595,6960,5085,1189,4,15,8,0,356
EMP01819,35317,3136,21015,3634,1543,3,11,7,0,324
EMP01820,15183,3685,7098,1940,1335,1,11,7,0,489
EMP01821,30420,4937,16241,3680,1868,5,4,1,0,451
EMP01822,21164,3076,11236,3213,1717,3,1,7,69,374
EMP01823,23650,2205,10502,5647,1867,3,4,8,0,542
EMP01824,47804,3353,25958,8388,835,5,7,10,0,458
EMP01825,18084,1158,9974,2233,1676,4,10,5,0,471
EMP01826,49183,4354,15290,6384,928,4,4,10,0,365
EMP01827,34639,4793,16361,4807,908,0,14,10,0,513
EMP01828,18634,2272,7070,3621,935,5,15,9,0,448
EMP01829,24260,4890,11302,4269,1914,3,2,8,0,477
EMP01830,38470,4175,13738,10115,1073,0,2,0,0,531
EMP01831,22939,2937,9172,3715,1595,3,0,4,0,418
EMP01832,29312,4816,9202,6788,1959,1,1,10,0,374
EMP01833,46793,3941,27020,12030,1560,3,0,2,0,426
EMP01834,41357,4949,17459,8551,1694,1,3,1,0,492
EMP01835,20658,4776,8648,4324,1922,0,3,9,0,519
EMP01836,31938,4043,17600,3993,1582,1,4,5,0,410
EMP01837,44824,4603,25283,7167,1554,5,14,10,0,413
EMP01838,47369,1646,18325,10383,1214,5,5,8,0,469
EMP01839,41431,1992,17861,8084,1157,2,2,10,0,489
EMP01840,18530,1290,7301,4306,1802,0,1,1,0,426
EMP01841,38879,3302,11946,4698,1352,5,10,9,0,563
EMP01842,15773,3817,5408,1870,1959,4,6,1,0,466
EMP01843,26809,1580,14334,5167,1358,0,15,9,0,469
EMP01844,15764,2998,6092,4377,1701,4,1,6,0,567
EMP01845,28823,3949,8950,3603,994,3,9,9,0,492
EMP01846,39125,2841,18189,5437,1954,2,6,3,0,398
EMP01847,18344,3091,7749,5058,1048,1,3,3,0,333
EMP01848,34929,4951,17967,4151,1140,5,14,7,0,556
EMP01849,48316,4667,14824,7646,1492,0,14,6,0,301
EMP01850,16669,3013,6983,2105,1383,1,2,6,0,340
EMP01851,36207,3631,17119,7258,1551,2,5,9,0,448
EMP01852,33077,3863,12770,7041,1660,5,4,5,0,456
EMP01853,42057,4946,13456,7216,1738,0,6,6,0,437
EMP01854,22382,1877,6756,3520,1428,0,5,0,0,453
EMP01855,41688,4065,19874,8799,897,4,7,2,0,529
EMP01856,45494,4978,17462,11305,1094,4,1,9,0,391
EMP01857,32068,2454,16686,3646,1395,3,14,8,0,341
EMP01858,49533,1532,25502,5281,998,5,12,5,0,470
EMP01859,44436,3290,23498,8631,1431,3,9,1,0,593
EMP01860,38388,3876,15680,5159,1403,5,14,9,0,457
EMP01861,49852,4296,18479,7242,917,4,11,10,0,510
EMP01862,15718,2199,7235,2006,1265,1,10,6,0,484
EMP01863,15329,2733,7243,4124,1934,3,11,4,0,443
EMP01864,23357,3009,12201,3535,1379,5,5,4,0,542
EMP01865,38288,3248,21751,8474,1993,4,2,9,0,421
EMP01866,40033,3070,14522,8495,1966,3,13,1,0,392
EMP01867,24820,4514,8221,4700,1221,5,13,4,0,525
EMP01868,47050,3653,26800,12559,1949,5,12,3,0,442
EMP01869,36736,2345,12473,4557,1595,4,1,7,0,397
EMP01870,20538,4594,10697,5326,1475,3,13,3,99,470
EMP01871,31702,4095,16552,9230,1238,3,13,8,0,505
EMP01872,31221,1015,11805,4554,1344,2,1,1,0,547
EMP01873,43547,4289,23774,12347,1817,1,9,2,0,357
EMP01874,37153,3484,18192,9989,1880,2,8,5,0,596
EMP01875,34513,2484,13418,6470,1268,2,13,9,122,450
EMP01876,20509,2070,9150,4286,804,0,12,10,0,403
EMP01877,18547,3084,10574,4531,1930,0,11,9,0,407
EMP01878,25134,2113,13200,7087,1384,5,7,4,0,388
EMP01879,40890,1865,24205,9671,1949,0,15,1,0,344
EMP01880,47492,3747,18123,7347,1644,2,7,1,0,557
EMP01881,20636,4074,7083,5882,1309,5,2,3,0,364
EMP01882,29747,4656,13157,8573,1455,3,4,0,0,484
EMP01883,33233,3886,11487,3660,800,0,12,1,0,306
EMP01884,37435,2284,21223,5766,1843,0,11,3,0,552
EMP01885,45046,3598,19930,9575,1533,5,12,2,82,393
EMP01886,28628,2464,14793,8099,1604,1,6,9,0,534
EMP01887,38208,3806,16971,9853,1603,4,4,6,0,427
EMP01888,16670,3523,6402,3732,1087,2,12,1,0,542
EMP01889,33769,1525,17118,6049,819,1,14,8,0,483
EMP01890,21786,3680,9162,2309,1346,5,15,4,0,595
EMP01891,17628,1405,7566,2901,1504,3,0,0,0,304
EMP01892,28000,3394,11473,6872,1776,4,15,5,0,398
EMP01893,35676,4116,20338,7867,1971,4,2,2,0,571
EMP01894,46895,2438,16593,9541,896,4,13,3,0,551
EMP01895,38713,2951,21046,10748,1531,5,15,0,0,398
EMP01896,27007,1822,12380,3791,1948,4,12,1,0,406
EMP01897,29346,2875,14993,4981,1381,2,1,3,0,561
EMP01898,37179,1381,19141,9685,1398,1,15,5,0,528
EMP01899,39163,4904,18432,4700,908,0,14,9,0,339
EMP01900,47589,4419,21731,5054,914,0,14,1,119,543
EMP01901,21518,4427,12488,6132,2000,0,9,0,0,510
EMP01902,18511,3232,9543,2679,1199,3,4,2,0,426
EMP01903,37915,2935,14104,7636,1260,4,1,4,0,390
EMP01904,25732,1541,11660,5397,1459,5,6,1,0,549
EMP01905,49532,2957,29127,5523,952,1,14,5,0,444
EMP01906,41089,4376,19033,5783,1251,5,5,8,0,398
EMP01907,36927,1018,15918,4809,1441,5,0,9,0,369
EMP01908,42459,4545,24081,9872,1210,2,14,0,125,406
EMP01909,34307,1598,17681,6174,1442,4,9,7,0,598
EMP01910,42734,1779,22376,6354,927,5,11,8,0,574
EMP01911,19494,2351,10601,5054,818,5,0,3,0,313
EMP01912,29464,3167,13258,7281,1511,2,13,2,0,359
EMP01913,31382,1988,16899,9293,1565,0,13,6,0,505
EMP01914,30061,1929,9235,6732,1180,3,8,5,0,465
EMP01915,39084,2704,20111,10525,1062,1,8,1,0,500
EMP01916,37469,4802,16626,4155,1595,5,14,4,0,456
EMP01917,42915,3827,24391,8780,1863,1,4,9,0,344
EMP01918,19707,1360,6734,2937,1732,3,1,3,0,527
EMP01919,31896,3944,13601,6999,1019,3,9,1,0,446
EMP01920,27569,4080,13059,6361,1181,1,10,0,0,595
EMP01921,31186,3729,11223,7667,1069,0,6,5,141,331
EMP01922,22212,3508,7877,6139,1473,4,5,2,0,373
EMP01923,26168,4068,15223,7244,1427,1,5,1,0,454
EMP01924,35454,3623,14275,9480,1083,0,15,4,0,530
EMP01925,36155,1572,12875,10158,960,3,5,4,0,445
EMP01926,43284,4763,22349,12190,1145,2,12,8,0,466
EMP01927,39184,4742,12274,6480,1451,1,13,10,0,371
EMP01928,35805,4628,19981,7470,1306,2,14,4,0,561
EMP01929,15375,4259,7277,2045,1645,1,11,10,0,417
EMP01930,24178,4512,11924,2978,1791,3,13,7,0,587
EMP01931,39409,1128,23150,5500,1501,3,8,9,0,443
EMP01932,30557,4180,17298,7593,1931,2,9,9,0,304
EMP01933,41291,4861,20642,4584,1268,0,1,6,0,358
EMP01934,42757,1823,18578,11086,825,1,6,3,0,420
EMP01935,20768,2616,10081,2747,823,0,7,4,0,370
EMP01936,19174,4481,10146,4600,1754,0,6,10,0,595
EMP01937,42887,3846,19417,5914,969,2,13,2,0,599
EMP01938,36362,1458,11790,3955,1869,3,10,1,0,596
EMP01939,43217,1626,21293,5019,899,5,5,10,0,406
EMP01940,19147,1921,7619,2763,1527,2,14,6,0,592
EMP01941,25041,3863,9488,6131,1023,4,0,10,0,411
EMP01942,38504,3700,13257,9282,1700,3,1,2,0,301
EMP01943,21643,4366,7386,4716,979,2,11,2,0,390
EMP01944,42295,2910,16867,5792,1845,0,9,4,0,335
EMP01945,35229,4838,17703,8638,1185,2,15,10,0,433
EMP01946,18411,2461,7173,3296,1347,0,5,7,0,481
EMP01947,46595,1739,21688,5925,1221,5,12,0,0,587
EMP01948,44517,3675,24144,4668,1727,5,8,1,0,305
EMP01949,41438,4848,21494,10962,954,2,5,9,0,455
EMP01950,48052,3943,28562,11845,1258,3,12,8,0,574
EMP01951,44720,2506,15567,6385,1605,0,5,5,0,496
EMP01952,33389,4886,19342,6220,1264,1,1,9,0,347
EMP01953,24068,4358,11243,2976,1015,2,15,2,0,564
EMP01954,22489,3427,7383,5176,1749,0,0,9,0,542
EMP01955,36038,1585,19744,5914,1614,1,13,4,0,550
EMP01956,27914,4251,10549,7220,1211,3,8,1,0,579
EMP01957,37222,1510,19949,3929,1329,3,3,4,0,453
EMP01958,41496,1895,22142,10260,1644,5,8,10,0,481
EMP01959,41669,4459,14519,9078,1101,3,9,10,0,392
EMP01960,34084,4962,16659,7308,1181,4,3,8,0,456
EMP01961,40798,2690,20451,5695,1075,1,4,2,0,417
EMP01962,49941,2382,20137,14733,1838,0,4,5,0,529
EMP01963,45044,3090,17839,6619,1361,0,5,9,0,365
EMP01964,42174,4067,23497,5845,1811,0,5,9,0,573
EMP01965,44686,2884,16969,10485,1207,1,0,8,0,417
EMP01966,24828,4848,13007,3794,1018,3,9,8,0,463
EMP01967,35562,4134,12487,4486,927,5,8,9,0,412
EMP01968,43676,1799,17999,6274,1163,5,1,7,0,585
EMP01969,17967,1663,9133,2763,811,2,14,10,0,504
EMP01970,24336,4918,9000,5414,1377,2,14,6,0,592
EMP01971,22561,3860,11540,3872,891,1,12,3,0,522
EMP01972,41108,2421,14430,7902,1695,3,14,2,0,314
EMP01973,31392,1399,11160,6824,1090,4,6,0,0,424
EMP01974,29428,1451,15988,4515,1445,1,0,9,0,514
EMP01975,47396,4348,15389,9967,1641,1,3,3,0,450
EMP01976,48532,2042,23169,8302,1407,5,13,5,0,329
EMP01977,16910,4074,8827,3725,930,5,8,5,0,302
EMP01978,43762,3024,17703,5577,1124,5,3,3,0,516
EMP01979,49479,3647,26973,14031,1169,3,4,9,0,426
EMP01980,35151,2460,16382,6605,1265,4,7,6,0,539
EMP01981,46397,3621,14813,8314,1979,2,4,2,0,490
EMP01982,42091,4904,20626,12259,1779,2,11,7,0,438
EMP01983,40072,2967,21162,5259,1554,2,14,9,0,306
EMP01984,39038,1622,21335,11166,1160,2,15,7,0,516
EMP01985,28993,4597,13190,4230,1959,4,2,4,0,473
EMP01986,17489,3856,8796,2835,834,3,5,2,0,436
EMP01987,46420,4586,25024,6569,1441,4,7,0,0,586
EMP01988,37373,3862,12403,6241,1440,2,5,8,0,483
EMP01989,49565,1471,25815,8827,1118,5,13,5,0,396
EMP01990,19020,3863,7386,3276,1403,3,13,10,0,331
EMP01991,32159,3555,11354,9509,1234,4,14,4,0,432
EMP01992,16506,4013,8398,3085,1314,1,5,7,0,459
EMP01993,33430,4859,12106,3604,1801,3,1,8,0,349
EMP01994,36126,3898,15565,9601,1092,3,13,1,0,366
EMP01995,25766,4620,8572,6758,1105,5,0,5,0,433
EMP01996,26791,1597,10488,7883,1557,0,13,10,32,523
EMP01997,45542,1925,26602,6358,1617,3,15,4,0,485
EMP01998,47941,4811,17804,9897,1551,5,1,6,0,539
EMP01999,18389,2073,7714,4470,1626,5,10,5,0,325
EMP02000,39666,4981,16593,4777,1006,0,7,3,0,593
EMP02001,16510,2347,9335,2627,822,5,11,7,0,545
EMP02002,43786,4751,24460,5184,963,4,4,10,0,537
EMP02003,27402,4673,13369,4105,831,0,11,5,0,439
EMP02004,49550,1472,28664,14018,1428,5,11,8,0,406
EMP02005,29062,4790,12083,8114,1701,3,4,2,0,405
EMP02006,46461,2574,14132,10871,1197,3,2,10,0,495
EMP02007,39200,4879,15376,7151,1129,4,10,8,0,425
EMP02008,48948,1252,17330,9433,1170,1,9,0,0,470
EMP02009,22508,2682,12307,2744,1279,3,8,5,0,529
EMP02010,28377,1513,13212,6053,1610,1,14,7,0,443
EMP02011,19035,4911,8073,4625,919,0,2,0,0,389
EMP02012,48175,3585,24526,8152,1216,5,7,0,72,320
EMP02013,46407,4284,23634,9193,1302,4,5,7,19,407
EMP02014,43358,1821,21872,12997,1076,1,2,4,0,581
EMP02015,46842,4283,15762,10886,1142,3,13,10,0,487
EMP02016,31327,4228,10839,7640,1465,5,8,2,0,487
EMP02017,24886,2505,13439,4019,1922,1,13,4,0,450
EMP02018,49530,2902,22248,6952,989,2,13,0,0,566
EMP02019,19392,1992,7425,3906,1991,1,3,7,0,589
EMP02020,31615,4548,15907,3988,845,2,15,4,0,523
EMP02021,45402,2724,14628,13314,1718,4,2,6,0,310
EMP02022,46535,1922,25922,6844,1752,0,12,5,0,523
EMP02023,28573,2242,14226,6047,1624,4,9,5,74,538
EMP02024,49420,1119,29214,5204,1635,1,15,8,0,535
EMP02025,22765,3778,10778,5147,1718,2,10,8,0,578
EMP02026,45812,1275,14738,11185,1342,1,2,4,0,482
EMP02027,38659,3777,13446,7524,1086,5,3,3,0,344
EMP02028,23987,3407,9417,3308,1758,1,6,6,0,437
EMP02029,47619,1915,21425,13425,1340,5,11,4,0,449
EMP02030,27399,4555,13881,6144,1111,5,7,3,0,510
EMP02031,22079,3721,9096,4913,1390,0,7,5,0,571
EMP02032,21578,3482,7960,6263,1465,2,13,0,0,470
EMP02033,32024,4464,13169,6941,989,3,12,4,0,404
EMP02034,31153,1753,13115,7245,975,3,15,4,0,490
EMP02035,31225,4635,12986,4287,1203,5,1,6,0,401
EMP02036,42227,3016,18792,7472,1539,2,9,8,0,555
EMP02037,33723,1559,11278,8667,1102,4,11,4,0,379
EMP02038,40761,4559,14283,10089,1057,3,13,8,0,598
EMP02039,42185,3964,24559,10683,1630,3,14,2,179,337
EMP02040,20001,2841,10319,4596,1029,5,11,9,0,442
EMP02041,32275,4268,12139,5104,1765,3,7,2,0,405
EMP02042,17268,1268,8331,3236,1234,4,8,9,0,468
EMP02043,48794,1605,15282,7989,1095,2,6,9,0,398
EMP02044,45382,3163,26991,5712,1297,2,0,5,0,530
EMP02045,19739,2542,11340,5033,1973,0,11,4,0,466
EMP02046,47432,4051,15934,10176,1098,4,5,2,0,565
EMP02047,25856,4766,8658,3638,1132,1,2,10,0,484
EMP02048,41007,2635,23484,11495,1004,1,9,6,0,533
EMP02049,16792,4812,5544,4884,1529,0,9,5,0,449
EMP02050,35720,2746,19501,3955,939,4,12,10,0,342
EMP02051,47867,1974,19762,10171,1341,2,1,10,0,540
EMP02052,37415,1582,15339,10220,1056,5,8,7,0,322
EMP02053,37932,4421,18495,6272,1433,1,15,6,0,434
EMP02054,18433,1487,8935,4171,1797,4,11,7,0,490
EMP02055,26803,2983,11517,4915,1748,4,14,9,0,362
EMP02056,44855,2079,26292,10600,1817,4,12,1,0,514
EMP02057,21710,2669,10115,5829,1327,2,12,1,0,411
EMP02058,29416,3180,14139,5603,1175,5,9,8,0,371
EMP02059,34970,4235,17232,8627,1534,2,3,6,0,486
EMP02060,21150,1733,7967,4532,895,0,1,0,0,380
EMP02061,39049,3772,21512,11703,1149,5,12,10,0,356
EMP02062,32986,4405,19645,7698,916,0,14,9,0,370
EMP02063,19525,4317,11043,4702,918,5,4,1,0,479
EMP02064,43711,3413,25163,12357,1683,0,2,10,0,561
EMP02065,48015,4679,26996,11980,1460,5,7,3,0,480
EMP02066,29326,1220,16727,4834,1584,4,14,3,0,332
EMP02067,19810,1044,10084,5553,1388,0,8,3,0,409
EMP02068,45436,1401,23147,10753,830,0,0,10,0,441
EMP02069,38153,3066,16628,5520,1283,1,2,5,0,338
EMP02070,17320,3004,7115,4103,982,5,13,2,0,339
EMP02071,49283,1733,18913,12438,1235,2,13,6,0,432
EMP02072,28716,1433,15105,3058,922,4,1,2,0,363
EMP02073,34989,2172,17269,9822,1166,2,0,1,0,364
EMP02074,24537,3330,8647,6990,1519,1,0,4,0,397
EMP02075,23798,2526,9780,5021,1568,3,7,7,0,500
EMP02076,46426,1835,24240,6513,1838,2,1,2,0,385
EMP02077,33598,3640,15695,3906,1195,3,8,6,0,529
EMP02078,45394,1868,15134,5095,1919,2,9,10,0,390
EMP02079,27903,1639,16198,6512,1119,2,14,5,0,401
EMP02080,46750,4942,20125,13443,1412,5,3,5,0,489
EMP02081,30002,3938,12307,7108,1061,5,9,8,0,330
EMP02082,41114,3196,21566,10413,1172,0,14,5,0,346
EMP02083,29691,2477,10252,7687,1069,5,8,2,0,483
EMP02084,16272,1062,6561,3609,1201,5,9,9,0,404
EMP02085,47182,2492,21966,9395,1764,0,14,8,0,319
EMP02086,42546,3927,17896,10277,951,1,11,1,0,572
EMP02087,31632,1586,15262,3355,1725,5,11,3,0,592
EMP02088,44489,1421,16923,5982,1935,4,1,8,0,325
EMP02089,29732,1997,10008,8333,997,0,1,4,0,567
EMP02090,42882,1492,17143,7379,1174,2,13,3,0,479
EMP02091,37689,4600,15752,8138,1571,0,7,8,0,378
EMP02092,35214,3421,11898,3885,1663,4,9,0,0,531
EMP02093,46445,4335,22072,6903,1804,0,13,7,0,394
EMP02094,39979,1978,19070,10631,1123,4,10,3,0,526
EMP02095,38747,2877,19007,4756,1386,1,2,0,0,412
EMP02096,48714,2812,20496,14532,1423,4,12,10,0,600
EMP02097,33553,1720,17366,9346,1860,3,7,3,128,455
EMP02098,18247,1884,5766,5005,837,5,8,7,0,544
EMP02099,28485,2256,10145,5711,1612,3,7,10,0,547
EMP02100,29218,3597,17027,8365,873,4,0,1,0,478
EMP02101,48829,1188,17309,7392,1277,0,7,0,3,586
EMP02102,15730,1720,5259,2070,1553,4,9,9,0,451
EMP02103,44049,2320,19407,9636,1074,0,14,10,0,377
EMP02104,46856,3852,26785,6373,1937,5,12,4,0,316
EMP02105,46096,4548,15795,9923,1076,1,4,3,0,516
EMP02106,27818,2689,10976,7506,1704,3,13,8,0,334
EMP02107,32162,2849,10098,8387,1711,4,13,1,0,486
EMP02108,32846,2982,17415,6157,1308,2,7,3,0,488
EMP02109,31065,2000,14734,8500,1332,4,8,9,0,471
EMP02110,18939,4551,6903,3054,1925,1,11,6,0,509
EMP02111,33433,4891,16756,5079,1839,4,12,0,0,466
EMP02112,23863,3053,13740,3855,1859,3,14,4,0,444
EMP02113,36532,4218,14948,6264,912,5,8,2,0,500
EMP02114,32244,3642,18506,4967,2000,4,13,4,0,531
EMP02115,46085,2187,22413,12650,1629,4,9,2,0,482
EMP02116,44335,1516,14808,6974,1392,0,12,8,0,446
EMP02117,49811,4014,24689,12372,1266,3,9,1,0,488
EMP02118,30365,2548,17173,5421,1782,1,3,5,0,388
EMP02119,24028,2549,14183,5373,1293,1,15,8,0,305
EMP02120,34588,1864,12111,7357,1296,3,4,0,0,418
EMP02121,30304,3711,10344,3644,1546,2,8,9,0,576
EMP02122,30791,1267,10167,8943,1686,1,7,5,0,437
EMP02123,16511,1293,7530,4636,935,4,4,4,0,538
EMP02124,22561,2657,8330,3246,1054,4,14,10,0,528
EMP02125,25095,3789,9478,6281,1058,4,12,8,0,375
EMP02126,22570,3868,10861,5343,1551,1,9,7,0,515
EMP02127,18947,2674,11124,4303,1263,0,2,2,0,559
EMP02128,26310,4305,13900,5184,1296,5,0,7,0,517
EMP02129,22721,2977,13360,5474,1141,2,1,9,0,379
EMP02130,40711,1778,15472,11547,1182,2,5,6,0,529
EMP02131,34800,3690,13073,6367,822,5,9,2,0,347
EMP02132,32408,4089,18219,6219,1399,0,4,1,0,430
EMP02133,32234,3750,14607,5514,1303,2,11,10,0,407
EMP02134,24702,1972,11193,6117,922,2,7,0,0,331
EMP02135,32839,1008,18929,8923,909,0,2,2,0,408
EMP02136,19102,1767,6872,3327,1751,4,2,6,0,461
EMP02137,38736,2199,21278,4154,1853,4,0,4,0,359
EMP02138,46227,3790,16533,4893,1383,4,0,10,0,417
EMP02139,34405,4324,15644,5981,1800,0,3,6,0,386
EMP02140,38297,3467,19992,7693,1377,5,2,9,0,383
EMP02141,43889,3329,20080,12869,1581,4,0,0,0,322
EMP02142,37397,1171,18696,5864,1789,2,7,3,0,333
EMP02143,26434,1088,15194,7443,804,2,15,2,0,484
EMP02144,22843,1523,8744,4755,855,2,14,10,0,368
EMP02145,36223,2356,17606,4142,1821,4,2,9,0,568
EMP02146,39814,4377,12031,7021,800,3,3,7,0,389
EMP02147,26551,3773,9933,4851,1262,1,7,9,0,495
EMP02148,34000,3273,18703,5890,1517,1,6,0,0,348
EMP02149,16752,3602,6019,4030,1788,3,14,6,0,300
EMP02150,31222,1963,12682,4767,1386,5,15,10,0,512
EMP02151,24016,2432,11796,4365,1703,1,15,6,0,300
EMP02152,34967,1767,12517,5285,1816,2,2,7,0,442
EMP02153,23761,3592,8439,3608,1743,2,9,5,0,349
EMP02154,46350,4550,20630,10087,1805,4,6,5,0,365
EMP02155,39444,2372,14214,11123,1232,2,13,8,105,547
EMP02156,36085,4876,10878,4001,1956,1,3,5,0,470
EMP02157,38561,3886,21545,10346,1855,2,12,4,0,515
EMP02158,36944,4683,20480,10706,1962,5,1,2,0,346
EMP02159,43938,1204,19320,6037,1772,3,0,2,0,312
EMP02160,39327,1070,16767,9731,1829,5,14,9,0,535
EMP02161,17619,3178,5502,3689,948,3,2,0,0,549
EMP02162,35588,1487,15667,7383,920,1,4,9,0,468
EMP02163,28047,4552,11369,6732,1508,2,6,7,72,526
EMP02164,25809,2394,10724,5029,1071,0,13,0,0,571
EMP02165,47584,2426,20409,7048,1202,5,12,2,0,377
EMP02166,28076,1374,14362,5426,1352,4,10,8,0,599
EMP02167,46829,1443,27655,11238,1897,1,11,5,0,314
EMP02168,36762,2268,18080,9207,1820,3,14,5,0,497
EMP02169,21104,4547,10443,4901,1520,2,6,0,0,367
EMP02170,16512,1515,6236,1941,1508,5,15,8,0,589
EMP02171,48129,2666,28324,14023,1668,3,5,3,0,527
EMP02172,41460,2729,19568,9987,1504,2,6,9,0,502
EMP02173,37353,4416,21279,10300,1156,4,0,7,0,395
EMP02174,17209,2173,7450,4078,890,1,14,6,0,495
EMP02175,25471,4635,13523,2975,1628,4,14,6,0,316
EMP02176,43239,4037,22193,9915,1164,4,11,10,0,365
EMP02177,28490,4900,11036,7477,1813,5,5,4,0,545
EMP02178,24763,3820,8989,6603,887,4,11,2,0,542
EMP02179,29171,3312,9753,5497,877,0,15,7,0,579
EMP02180,48894,2508,22068,11420,1621,3,13,0,0,347
EMP02181,31735,3739,12977,5015,1686,4,12,2,0,475
EMP02182,45560,1526,19516,12475,1808,5,0,2,0,557
EMP02183,17283,2965,8122,4348,874,0,3,8,76,477
EMP02184,37925,2171,13523,4587,1337,5,8,3,0,483
EMP02185,43739,1043,23497,11471,1241,5,13,8,0,396
EMP02186,29037,4349,12316,3187,1580,3,14,5,0,589
EMP02187,36403,1839,17120,8841,1963,0,12,4,0,560
EMP02188,38825,3322,19894,6629,987,2,14,0,0,561
EMP02189,49711,4657,25222,6971,847,1,1,0,0,566
EMP02190,28440,3463,9751,6109,1806,2,10,8,0,335
EMP02191,34431,2895,17932,8802,1630,3,2,3,92,463
EMP02192,20691,1164,8131,5983,1532,5,12,7,0,589
EMP02193,48152,2830,26895,6299,1132,2,5,5,0,370
EMP02194,39250,3629,12230,6060,927,2,4,0,0,488
EMP02195,22468,4543,12279,4387,1490,3,10,6,0,355
EMP02196,34592,1852,18725,9433,1342,3,11,1,0,438
EMP02197,30767,3042,9605,8748,995,3,11,0,0,352
EMP02198,34261,2677,18751,6201,1411,3,8,10,0,439
EMP02199,43353,4809,14361,10994,1176,5,8,0,0,593
EMP02200,25201,4624,11226,4327,1659,0,12,2,0,389
EMP02201,37525,4683,17274,5180,1735,2,8,8,149,360
EMP02202,28537,4662,13596,6456,1180,2,6,0,0,586
EMP02203,39144,4962,15988,10036,1342,1,8,2,0,369
EMP02204,39260,2735,20654,4348,1911,4,12,4,0,515
EMP02205,47839,3890,19618,13346,1455,5,0,7,0,565
EMP02206,16300,4730,9394,2439,1741,4,15,9,0,362
EMP02207,31632,4366,13772,5424,892,0,0,0,0,442
EMP02208,44749,3346,23926,11977,1741,4,1,5,0,473
EMP02209,26271,4415,9696,2701,1733,5,14,9,0,421
EMP02210,34247,3665,18103,7771,1041,4,10,1,0,540
EMP02211,46915,4880,16534,9617,1051,1,7,10,0,583
EMP02212,22485,4754,9461,4551,1667,0,13,9,0,449
EMP02213,18388,1454,10346,4987,1153,4,13,4,0,573
EMP02214,42006,1330,12717,4463,1388,1,1,8,0,533
EMP02215,47851,3004,17439,8491,1895,1,5,5,0,341
EMP02216,47794,4496,18075,9603,1442,1,2,3,0,509
EMP02217,16572,2373,6625,4341,984,5,11,5,0,314
EMP02218,25163,2454,9795,4538,887,1,4,3,0,450
EMP02219,37824,4684,13146,7971,1237,5,1,2,0,405
EMP02220,16063,4761,7192,4221,876,3,4,3,0,358
EMP02221,47046,1567,21391,7491,1599,2,14,6,0,435
EMP02222,46196,1314,18546,12976,1274,3,8,0,0,484
EMP02223,31188,2369,10607,9023,1907,0,5,0,0,549
EMP02224,49985,2188,21125,7023,1988,0,4,7,0,353
EMP02225,30765,4801,17507,5597,1963,1,11,0,0,582
EMP02226,30256,2914,9536,3090,1097,2,7,8,0,408
EMP02227,44259,2342,25617,9890,1447,1,4,0,0,327
